"corp_id","doc_id","title","acronym","abstract","doc_keywords"
"FET",1,"ARTIST","ARTIST","ARTIST aims at exploring alternative routes towards long distance information transport and storage at the atomic and molecular scale (above 10 nm). It suggests new solutions for optical and electrical addressing of molecules, efficient inter-molecular communication and compatible data storage. It will implement new concepts and methods for molecular electronics based on nanoscale plasmonic waveguides, electrostatics and single charge injection by weak coupling to nanocapacitors. This proposal's overall goal will open the way to a completely new nano-scale technology for information processing and storage.  ",
"FET","BION ","BION ","BION ","BION will use data from neuroanatomy and neurophysiology as a guide for the fabrication for deterministic and complex self-assembled networks of polymeric non-linear elements with adaptive properties. The project's main objective is the realization of new technology for the production of functional molecular assemblies which can perform advanced tasks involving learning and decision making and which can be tailored down to the nanoscale. The proposal combines expertise in neuroscience, material science and algorithmics.  ",
"FET","BISON","BISON","BISON","BISON aims to develop a new ICT paradigm shift based on the concept of bisociation, a functional basis which allows to connect seemingly unrelated information, for example, by using metaphors or analogical reasoning.  ",
"FET","BRAIN-I-NETS ","BRAIN-I-NETS ","BRAIN-I-NETS ","BRAIN-I-NETS aims to apply and extend new cutting-edge experimental techniques to produce a set of rules for synaptic plasticity and network re-organisation that describe the actual adaptive processes that take place in the living brain during learning. The goal of this proposal is to port essential aspects of learning in the intact brain into current and next-generation neuromorphic hardware.  ",
"FET","CERCO ","CERCO ","CERCO ","CERCO aims to construct a formally verified complexity preserving compiler from a large subset of C to some typical microcontroller assembly, of the kind traditionally used in embedded systems. The work involves the definition of cost models for the input and target languages, and the machine-checked proof of preservation of complexity (concrete, not asymptotic) along compilation. The compiler will also return tight and certified cost annotations for the source program, providing a reliable infrastructure to draw temporal assertions on the executable code while reasoning on the source. The compiler will be open source, and all proofs will be public domain.  ",
"FET","CLONS","CLONS","CLONS","CLONS aims to develop an innovative closed-loop sensory neural prosthesis for people affected by vestibular disorders. Such a neural prosthesis would use a neural implant to provide vestibular information by stimulating the semicircular canals with information provided by inertial sensors embedded in a device attached to the head. A prototype device will be developed and tested in animals and humans.  ",
"FET","COMPAS","COMPAS","COMPAS","COMPAS aims at carrying out exploratory research on mesoscopic continuous variable quantum information systems, with the ultimate objective of designing the first small scale quantum processor using this continuous variable toolbox.  ",
"FET","CONNECT","CONNECT","CONNECT","CONNECT aims to create atlases of the brain’s connectivity in different decades of life, to serve as a long-lasting reference for the neuroscience and medical community. By developing new methods for characterizing micro-structural tissue properties and macro-structural connectivity, the goal is to enable diffusion MRI technology to become a powerful non-invasive clinical virtual biopsy tool.  ",
"FET","COQUIT","COQUIT","COQUIT","COQUIT aims to design quantum algorithms, which can be implemented in terms of operations that are easily feasible on many particle quantum states, and to investigate quantum devices with limited control. Typical examples are many particle quantum systems such as cold atoms in optical lattices or other multi-atom ensembles, which can be manipulated collectively but not individually. Such restrictions are currently one of the biggest obstacles against working quantum computers. Instead of improving the corresponding experimental methods, this project aims at a systematic study of the tasks which can be performed with currently available techniques.  ",
"FET","CORNER","CORNER","CORNER","CORNER aims to develop a general framework for understanding and managing noise effects in quantum information technology with particular attention paid to the previously unexplored area of correlated noise errors that commonly arise in space and/or time especially in large scale operations.  ",
